2020-02-20 02:34:40.860 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出42
2020-02-20 02:34:41.856 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出43
2020-02-20 02:34:42.858 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出44
2020-02-20 02:34:43.857 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出45
2020-02-20 02:34:44.858 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出46
2020-02-20 02:34:45.857 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出47
2020-02-20 02:34:46.856 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出48
2020-02-20 02:34:47.861 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出49
2020-02-20 02:34:48.859 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出50
2020-02-20 02:34:49.858 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出51
2020-02-20 02:34:50.807 [SpringContextShutdownHook] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Stopping...
2020-02-20 02:34:50.807 [SpringContextShutdownHook] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-02-20 02:34:50.808 [SpringContextShutdownHook] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Stopped.
2020-02-20 02:34:50.809 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'brokerChannelExecutor'
2020-02-20 02:34:50.809 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'messageBrokerTaskScheduler'
